stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,nearest_node
Aberlestraße,655035,174024,48.122562,11.545391,,,1955268
Aberlestraße,655035,276241,48.122707,11.545112,,,1955268
Aberlestraße,655035,312120,48.122272,11.543522,,,1955265
Abtstraße,503116,190025,48.184177,11.578574,,,1955689
Abtstraße,503116,470306,48.184284,11.578934,,,1955689
Ackermannbogen,120761,416681,48.165012,11.555065,,,1448384680
Ackermannbogen,120761,95458,48.165005,11.556287,,,568017588
Ackermannstraße,509801,127680,48.167923,11.56545,,,21036248
Ackermannstraße,509801,251905,48.16816,11.564722,,,1117390122
Ackermannstraße,509801,318791,48.16778,11.56545,,,21036248
Ackermannstraße,509801,575462,48.168804,11.565109,,,21035990
Adilostraße,572603,176281,48.10638,11.62128,,,31726406
Adilostraße,572603,222319,48.106255,11.621119,,,31726406
Adunistraße,377523,251770,48.10967,11.534117,,,27277878
Adunistraße,377523,512432,48.109295,11.534359,,,27277878
Agnes-Bernauer-Platz,255087,156916,48.139954,11.495534,,,173898215
Agnes-Bernauer-Platz,255087,424506,48.13977,11.496558,,,173872048
Agnes-Bernauer-Straße,377411,103594,48.139145,11.511722,,,21600654
Agnes-Bernauer-Straße,377411,367599,48.139374,11.510734,,,21600655
Agnes-Bernauer-Straße,377411,384083,48.13932,11.511533,,,21600654
Agnes-Bernauer-Straße,377411,54254,48.139385,11.51165,,,21600654
Aichacher Straße,201743,530675,48.105007,11.518351,,,26125579
Aichacher Straße,201743,643000,48.104862,11.518432,,,26125579
Aidenbachstraße,143627,313036,48.098095,11.524271,,,1677696371
Aidenbachstraße,143627,421119,48.098022,11.524451,,,1677696371
Aidenbachstraße,143627,426751,48.09785,11.525143,,,1677696371
Aidenbachstraße,143627,455822,48.09797,11.524361,,,1677696371
Aidenbachstraße,143627,515635,48.09734,11.523912,,,26421936
Aidenbachstraße,143627,550887,48.09791,11.525169,,,1677696371
Aidenbachstraße,143627,657360,48.09761,11.524038,,,26421936
Aindorferstraße,617286,233054,48.131947,11.502739,,,28228936
Aindorferstraße,617286,267813,48.13125,11.5029,,,28228945
Aindorferstraße,617286,282115,48.1308,11.502783,,,28959698
Aindorferstraße,617286,401868,48.131866,11.503026,,,28228936
Albrechtstraße,462087,660951,48.155598,11.540207,,,1078717644
Albrechtstraße,462087,666932,48.155663,11.540558,,,30975715
Allach,359512,141174,48.190224,11.467605,,,194568411
Allach,359512,346616,48.189842,11.467498,,,194568411
Allach,359512,368944,48.19021,11.467381,,,194568411
Allach Bf. Ost,176649,335822,48.19277,11.468387,,,290247526
"Allach, München",359512,287395,48.190044,11.466923,,,194568411
Allacher Forstweg,60682,466438,48.210773,11.481278,,1,268028216
Allescherstraße,662100,324249,48.082718,11.519771,,,1734459871
Allescherstraße,662100,512734,48.082375,11.520121,,,1734459871
Allgäuer Straße,399779,27412,48.08208,11.48515,,,286343351
Allgäuer Straße,399779,60548,48.081684,11.485724,,,286343351
"Alling, Hoflacher Straße",582950,160340,48.143658,11.30113,,Ri,26291851
"Alling, Hoflacher Straße",582950,468280,48.14391,11.301255,,Ri,26291851
"Alling, Holzkirchen",425447,26311,48.136375,11.309987,,Ri,26291851
"Alling, Holzkirchen",425447,656959,48.136246,11.310023,,Ri,26291851
"Alling, Naßlhof",323059,154005,48.13308,11.313607,,Ri,282279
"Alling, Naßlhof",323059,165992,48.13307,11.313419,,Ri,282279
"Alling, Parsbergstraße",637411,83052,48.141754,11.302962,,Ri,26291851
"Alling, Sportplatz",319081,369446,48.14012,11.302899,,Ri,26291851
"Alling, Sportplatz",319081,564485,48.13988,11.302486,,Ri,26291851
Allinger Straße,64528,124000,48.16761,11.411039,,,268188751
Allinger Straße,64528,473488,48.167576,11.410913,,,268188751
Alois-Hahn-Weg,523382,249127,48.10502,11.661651,,,271011518
