osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
128236,5339064.730091959,678051.0229626049,3,,,,POINT (678051.0229626049 5339064.730091959),2,0.00021375133594584968
544807,5338895.055815997,678032.0791716239,3,,,,POINT (678032.0791716239 5338895.055815997),0,0.00021375133594584968
93830691,5339053.695765792,678311.7415385732,4,traffic_signals,,,POINT (678311.7415385732 5339053.695765792),2,0.0002850017812611329
26291856,5339223.119011262,677724.0802896938,4,,,,POINT (677724.0802896938 5339223.119011262),7,0.00021375133594584968
128238,5339009.491695612,678315.48009373,3,,,,POINT (678315.48009373 5339009.491695612),0,0.00021375133594584968
128239,5338985.898755476,678321.9753876533,3,,,,POINT (678321.9753876533 5338985.898755476),0,0.00021375133594584968
128242,5338923.230175493,678590.7047755138,4,,,,POINT (678590.7047755138 5338923.230175493),2,0.0002850017812611329
498227,5338800.974965961,678225.4423268987,3,,,,POINT (678225.4423268987 5338800.974965961),0,0.00021375133594584968
498241,5338837.073524534,678830.8536349033,3,,,,POINT (678830.8536349033 5338837.073524534),0,0.00021375133594584968
5873597428,5338810.087843636,678551.080086282,1,turning_circle,,,POINT (678551.080086282 5338810.087843636),0,7.125044531528322e-05
128250,5338604.320388996,679027.5756969394,3,,,,POINT (679027.5756969394 5338604.320388996),1,0.00021375133594584968
213581228,5338406.604213905,678986.1715911629,3,,,,POINT (678986.1715911629 5338406.604213905),0,0.00021375133594584968
275253,5338562.27263279,679125.2898726685,3,,,,POINT (679125.2898726685 5338562.27263279),0,0.00021375133594584968
128256,5337829.914806349,679209.9755516344,3,,,,POINT (679209.9755516344 5337829.914806349),0,0.00021375133594584968
268188751,5337754.196340329,679251.011228958,4,,,,POINT (679251.011228958 5337754.196340329),2,0.0002850017812611329
275263,5337938.382541004,679125.9354152058,3,,,,POINT (679125.9354152058 5337938.382541004),0,0.00021375133594584968
102780805,5337781.633696758,678789.8856273971,1,,,,POINT (678789.8856273971 5337781.633696758),0,7.125044531528322e-05
